{'loss': 0.6169, 'learning_rate': 2.2126745435016113e-06, 'epoch': 0.04}
{'loss': 0.4847, 'learning_rate': 2.234156820622986e-06, 'epoch': 0.04}
{'loss': 0.6697, 'learning_rate': 2.255639097744361e-06, 'epoch': 0.05}
{'loss': 0.6318, 'learning_rate': 2.277121374865736e-06, 'epoch': 0.05}
{'loss': 0.6098, 'learning_rate': 2.2986036519871107e-06, 'epoch': 0.05}
{'loss': 0.5676, 'learning_rate': 2.3200859291084856e-06, 'epoch': 0.05}
{'loss': 0.5613, 'learning_rate': 2.3415682062298604e-06, 'epoch': 0.05}
{'loss': 0.5581, 'learning_rate': 2.3630504833512357e-06, 'epoch': 0.05}
{'loss': 0.5474, 'learning_rate': 2.3845327604726105e-06, 'epoch': 0.05}
{'loss': 0.5448, 'learning_rate': 2.406015037593985e-06, 'epoch': 0.05}
{'loss': 0.4517, 'learning_rate': 2.42749731471536e-06, 'epoch': 0.05}
{'loss': 0.5807, 'learning_rate': 2.4489795918367347e-06, 'epoch': 0.05}
{'loss': 0.5459, 'learning_rate': 2.47046186895811e-06, 'epoch': 0.05}
{'loss': 0.6063, 'learning_rate': 2.491944146079485e-06, 'epoch': 0.05}
{'loss': 0.6991, 'learning_rate': 2.5134264232008592e-06, 'epoch': 0.05}
{'loss': 0.4795, 'learning_rate': 2.5349087003222345e-06, 'epoch': 0.05}
{'loss': 0.4938, 'learning_rate': 2.556390977443609e-06, 'epoch': 0.05}
{'loss': 0.5256, 'learning_rate': 2.577873254564984e-06, 'epoch': 0.05}
{'loss': 0.5276, 'learning_rate': 2.599355531686359e-06, 'epoch': 0.05}
{'loss': 0.5204, 'learning_rate': 2.620837808807734e-06, 'epoch': 0.05}
{'loss': 0.5497, 'learning_rate': 2.6423200859291087e-06, 'epoch': 0.05}
{'loss': 0.5514, 'learning_rate': 2.663802363050483e-06, 'epoch': 0.05}
{'loss': 0.4413, 'learning_rate': 2.6852846401718585e-06, 'epoch': 0.05}
{'loss': 0.4436, 'learning_rate': 2.7067669172932333e-06, 'epoch': 0.05}
{'loss': 0.507, 'learning_rate': 2.728249194414608e-06, 'epoch': 0.05}
{'loss': 0.5836, 'learning_rate': 2.749731471535983e-06, 'epoch': 0.06}
{'loss': 0.4683, 'learning_rate': 2.7712137486573583e-06, 'epoch': 0.06}
{'loss': 0.4856, 'learning_rate': 2.7926960257787327e-06, 'epoch': 0.06}
{'loss': 0.4652, 'learning_rate': 2.8141783029001076e-06, 'epoch': 0.06}
{'loss': 0.4996, 'learning_rate': 2.8356605800214824e-06, 'epoch': 0.06}
{'loss': 0.5204, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.06}
{'loss': 0.5487, 'learning_rate': 2.8786251342642325e-06, 'epoch': 0.06}
