{'loss': 0.4143, 'learning_rate': 2.728249194414608e-06, 'epoch': 0.05}
{'loss': 0.4264, 'learning_rate': 2.749731471535983e-06, 'epoch': 0.06}
{'loss': 0.353, 'learning_rate': 2.7712137486573583e-06, 'epoch': 0.06}
{'loss': 0.4537, 'learning_rate': 2.7926960257787327e-06, 'epoch': 0.06}
{'loss': 0.4087, 'learning_rate': 2.8141783029001076e-06, 'epoch': 0.06}
{'loss': 0.4371, 'learning_rate': 2.8356605800214824e-06, 'epoch': 0.06}
{'loss': 0.4928, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.06}
{'loss': 0.4068, 'learning_rate': 2.8786251342642325e-06, 'epoch': 0.06}
{'loss': 0.3734, 'learning_rate': 2.900107411385607e-06, 'epoch': 0.06}
{'loss': 0.4848, 'learning_rate': 2.9215896885069822e-06, 'epoch': 0.06}
{'loss': 0.4307, 'learning_rate': 2.9430719656283567e-06, 'epoch': 0.06}
{'loss': 0.4825, 'learning_rate': 2.9645542427497315e-06, 'epoch': 0.06}
{'loss': 0.4234, 'learning_rate': 2.9860365198711068e-06, 'epoch': 0.06}
{'loss': 0.5333, 'learning_rate': 3.007518796992481e-06, 'epoch': 0.06}
{'loss': 0.5299, 'learning_rate': 3.0290010741138565e-06, 'epoch': 0.06}
{'loss': 0.4462, 'learning_rate': 3.050483351235231e-06, 'epoch': 0.06}
{'loss': 0.3885, 'learning_rate': 3.071965628356606e-06, 'epoch': 0.06}
{'loss': 0.4388, 'learning_rate': 3.093447905477981e-06, 'epoch': 0.06}
{'loss': 0.4488, 'learning_rate': 3.1149301825993555e-06, 'epoch': 0.06}
{'loss': 0.4628, 'learning_rate': 3.1364124597207307e-06, 'epoch': 0.06}
{'loss': 0.4884, 'learning_rate': 3.157894736842105e-06, 'epoch': 0.06}
{'loss': 0.4618, 'learning_rate': 3.1793770139634804e-06, 'epoch': 0.06}
{'loss': 0.5278, 'learning_rate': 3.2008592910848553e-06, 'epoch': 0.06}
{'loss': 0.4554, 'learning_rate': 3.22234156820623e-06, 'epoch': 0.06}
Step 300 - Original loss: 0.4780, KL loss: 0.1855, MSE loss: 0.0679, Total loss: 0.6047
Step 300 - Original loss: 0.4067, KL loss: 0.4453, MSE loss: 0.1670, Total loss: 0.7128
{'loss': 0.468, 'learning_rate': 3.243823845327605e-06, 'epoch': 0.06}
{'loss': 0.3922, 'learning_rate': 3.2653061224489794e-06, 'epoch': 0.07}
{'loss': 0.3933, 'learning_rate': 3.2867883995703547e-06, 'epoch': 0.07}
{'loss': 0.4207, 'learning_rate': 3.3082706766917295e-06, 'epoch': 0.07}
{'loss': 0.3973, 'learning_rate': 3.3297529538131044e-06, 'epoch': 0.07}
{'loss': 0.4684, 'learning_rate': 3.3512352309344792e-06, 'epoch': 0.07}
{'loss': 0.3742, 'learning_rate': 3.3727175080558545e-06, 'epoch': 0.07}
{'loss': 0.4934, 'learning_rate': 3.394199785177229e-06, 'epoch': 0.07}
{'loss': 0.3982, 'learning_rate': 3.415682062298604e-06, 'epoch': 0.07}
{'loss': 0.4208, 'learning_rate': 3.4371643394199786e-06, 'epoch': 0.07}
{'loss': 0.3943, 'learning_rate': 3.4586466165413535e-06, 'epoch': 0.07}
{'loss': 0.414, 'learning_rate': 3.4801288936627288e-06, 'epoch': 0.07}
{'loss': 0.4101, 'learning_rate': 3.501611170784103e-06, 'epoch': 0.07}
{'loss': 0.4217, 'learning_rate': 3.5230934479054785e-06, 'epoch': 0.07}
{'loss': 0.4223, 'learning_rate': 3.544575725026853e-06, 'epoch': 0.07}
{'loss': 0.4446, 'learning_rate': 3.5660580021482278e-06, 'epoch': 0.07}
{'loss': 0.349, 'learning_rate': 3.587540279269603e-06, 'epoch': 0.07}
{'loss': 0.4729, 'learning_rate': 3.6090225563909775e-06, 'epoch': 0.07}
{'loss': 0.4315, 'learning_rate': 3.6305048335123527e-06, 'epoch': 0.07}
{'loss': 0.4351, 'learning_rate': 3.651987110633727e-06, 'epoch': 0.07}
{'loss': 0.3057, 'learning_rate': 3.6734693877551024e-06, 'epoch': 0.07}
{'loss': 0.4854, 'learning_rate': 3.6949516648764773e-06, 'epoch': 0.07}
{'loss': 0.443, 'learning_rate': 3.7164339419978526e-06, 'epoch': 0.07}
{'loss': 0.4226, 'learning_rate': 3.737916219119227e-06, 'epoch': 0.07}
{'loss': 0.4843, 'learning_rate': 3.7593984962406014e-06, 'epoch': 0.08}
Step 350 - Original loss: 0.1577, KL loss: 0.0552, MSE loss: 0.0048, Total loss: 0.1877
Step 350 - Original loss: 0.4280, KL loss: 0.2832, MSE loss: 0.0928, Total loss: 0.6160
{'loss': 0.4308, 'learning_rate': 3.7808807733619767e-06, 'epoch': 0.08}
{'loss': 0.5145, 'learning_rate': 3.8023630504833515e-06, 'epoch': 0.08}
{'loss': 0.4284, 'learning_rate': 3.823845327604727e-06, 'epoch': 0.08}
{'loss': 0.3434, 'learning_rate': 3.845327604726101e-06, 'epoch': 0.08}
{'loss': 0.4098, 'learning_rate': 3.8668098818474765e-06, 'epoch': 0.08}
{'loss': 0.3918, 'learning_rate': 3.888292158968851e-06, 'epoch': 0.08}
{'loss': 0.4312, 'learning_rate': 3.909774436090225e-06, 'epoch': 0.08}
{'loss': 0.3703, 'learning_rate': 3.931256713211601e-06, 'epoch': 0.08}
{'loss': 0.3867, 'learning_rate': 3.952738990332975e-06, 'epoch': 0.08}
{'loss': 0.4061, 'learning_rate': 3.97422126745435e-06, 'epoch': 0.08}
{'loss': 0.4042, 'learning_rate': 3.995703544575726e-06, 'epoch': 0.08}
{'loss': 0.4396, 'learning_rate': 4.017185821697101e-06, 'epoch': 0.08}
{'loss': 0.3661, 'learning_rate': 4.038668098818475e-06, 'epoch': 0.08}
{'loss': 0.4004, 'learning_rate': 4.06015037593985e-06, 'epoch': 0.08}
{'loss': 0.4601, 'learning_rate': 4.081632653061225e-06, 'epoch': 0.08}
{'loss': 0.319, 'learning_rate': 4.1031149301825994e-06, 'epoch': 0.08}
{'loss': 0.5612, 'learning_rate': 4.124597207303975e-06, 'epoch': 0.08}
{'loss': 0.4153, 'learning_rate': 4.146079484425349e-06, 'epoch': 0.08}
{'loss': 0.5203, 'learning_rate': 4.167561761546724e-06, 'epoch': 0.08}
{'loss': 0.4648, 'learning_rate': 4.189044038668099e-06, 'epoch': 0.08}
{'loss': 0.5539, 'learning_rate': 4.210526315789474e-06, 'epoch': 0.08}
{'loss': 0.4896, 'learning_rate': 4.232008592910849e-06, 'epoch': 0.08}
{'loss': 0.4497, 'learning_rate': 4.253490870032224e-06, 'epoch': 0.09}
{'loss': 0.5045, 'learning_rate': 4.274973147153599e-06, 'epoch': 0.09}
