{'loss': 0.455, 'learning_rate': 2.620837808807734e-06, 'epoch': 0.05}
{'loss': 0.4826, 'learning_rate': 2.6423200859291087e-06, 'epoch': 0.05}
{'loss': 0.4878, 'learning_rate': 2.663802363050483e-06, 'epoch': 0.05}
{'loss': 0.375, 'learning_rate': 2.6852846401718585e-06, 'epoch': 0.05}
Step 250 - Original loss: 0.2567, KL loss: 0.2227, MSE loss: 0.0552, Total loss: 0.3956
Step 250 - Original loss: 0.2959, KL loss: 0.2334, MSE loss: 0.0569, Total loss: 0.4410
{'loss': 0.3683, 'learning_rate': 2.7067669172932333e-06, 'epoch': 0.05}
{'loss': 0.4392, 'learning_rate': 2.728249194414608e-06, 'epoch': 0.05}
{'loss': 0.4896, 'learning_rate': 2.749731471535983e-06, 'epoch': 0.06}
{'loss': 0.3981, 'learning_rate': 2.7712137486573583e-06, 'epoch': 0.06}
{'loss': 0.4177, 'learning_rate': 2.7926960257787327e-06, 'epoch': 0.06}
{'loss': 0.3934, 'learning_rate': 2.8141783029001076e-06, 'epoch': 0.06}
{'loss': 0.4318, 'learning_rate': 2.8356605800214824e-06, 'epoch': 0.06}
{'loss': 0.4554, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.06}
{'loss': 0.4635, 'learning_rate': 2.8786251342642325e-06, 'epoch': 0.06}
{'loss': 0.4132, 'learning_rate': 2.900107411385607e-06, 'epoch': 0.06}
{'loss': 0.4673, 'learning_rate': 2.9215896885069822e-06, 'epoch': 0.06}
{'loss': 0.5307, 'learning_rate': 2.9430719656283567e-06, 'epoch': 0.06}
{'loss': 0.4753, 'learning_rate': 2.9645542427497315e-06, 'epoch': 0.06}
{'loss': 0.4712, 'learning_rate': 2.9860365198711068e-06, 'epoch': 0.06}
{'loss': 0.4298, 'learning_rate': 3.007518796992481e-06, 'epoch': 0.06}
{'loss': 0.5263, 'learning_rate': 3.0290010741138565e-06, 'epoch': 0.06}
{'loss': 0.3498, 'learning_rate': 3.050483351235231e-06, 'epoch': 0.06}
{'loss': 0.4273, 'learning_rate': 3.071965628356606e-06, 'epoch': 0.06}
{'loss': 0.4676, 'learning_rate': 3.093447905477981e-06, 'epoch': 0.06}
{'loss': 0.4032, 'learning_rate': 3.1149301825993555e-06, 'epoch': 0.06}
{'loss': 0.5471, 'learning_rate': 3.1364124597207307e-06, 'epoch': 0.06}
{'loss': 0.4557, 'learning_rate': 3.157894736842105e-06, 'epoch': 0.06}
{'loss': 0.4001, 'learning_rate': 3.1793770139634804e-06, 'epoch': 0.06}
{'loss': 0.3766, 'learning_rate': 3.2008592910848553e-06, 'epoch': 0.06}
{'loss': 0.4685, 'learning_rate': 3.22234156820623e-06, 'epoch': 0.06}
Step 300 - Original loss: 0.3694, KL loss: 0.3086, MSE loss: 0.0928, Total loss: 0.5700
Step 300 - Original loss: 0.2894, KL loss: 0.2100, MSE loss: 0.0547, Total loss: 0.4217
{'loss': 0.3958, 'learning_rate': 3.243823845327605e-06, 'epoch': 0.06}
{'loss': 0.3812, 'learning_rate': 3.2653061224489794e-06, 'epoch': 0.07}
{'loss': 0.3952, 'learning_rate': 3.2867883995703547e-06, 'epoch': 0.07}
{'loss': 0.4315, 'learning_rate': 3.3082706766917295e-06, 'epoch': 0.07}
{'loss': 0.391, 'learning_rate': 3.3297529538131044e-06, 'epoch': 0.07}
{'loss': 0.4091, 'learning_rate': 3.3512352309344792e-06, 'epoch': 0.07}
{'loss': 0.363, 'learning_rate': 3.3727175080558545e-06, 'epoch': 0.07}
{'loss': 0.4023, 'learning_rate': 3.394199785177229e-06, 'epoch': 0.07}
{'loss': 0.396, 'learning_rate': 3.415682062298604e-06, 'epoch': 0.07}
{'loss': 0.4228, 'learning_rate': 3.4371643394199786e-06, 'epoch': 0.07}
{'loss': 0.3804, 'learning_rate': 3.4586466165413535e-06, 'epoch': 0.07}
{'loss': 0.3804, 'learning_rate': 3.4801288936627288e-06, 'epoch': 0.07}
{'loss': 0.3865, 'learning_rate': 3.501611170784103e-06, 'epoch': 0.07}
{'loss': 0.4341, 'learning_rate': 3.5230934479054785e-06, 'epoch': 0.07}
{'loss': 0.4438, 'learning_rate': 3.544575725026853e-06, 'epoch': 0.07}
{'loss': 0.6122, 'learning_rate': 3.5660580021482278e-06, 'epoch': 0.07}
{'loss': 0.4238, 'learning_rate': 3.587540279269603e-06, 'epoch': 0.07}
{'loss': 0.4126, 'learning_rate': 3.6090225563909775e-06, 'epoch': 0.07}
{'loss': 0.4758, 'learning_rate': 3.6305048335123527e-06, 'epoch': 0.07}
{'loss': 0.4977, 'learning_rate': 3.651987110633727e-06, 'epoch': 0.07}
{'loss': 0.4409, 'learning_rate': 3.6734693877551024e-06, 'epoch': 0.07}
{'loss': 0.5257, 'learning_rate': 3.6949516648764773e-06, 'epoch': 0.07}
{'loss': 0.5275, 'learning_rate': 3.7164339419978526e-06, 'epoch': 0.07}
{'loss': 0.433, 'learning_rate': 3.737916219119227e-06, 'epoch': 0.07}
{'loss': 0.4924, 'learning_rate': 3.7593984962406014e-06, 'epoch': 0.08}
Step 350 - Original loss: 0.1988, KL loss: 0.1729, MSE loss: 0.0378, Total loss: 0.3042
Step 350 - Original loss: 0.3444, KL loss: 0.3574, MSE loss: 0.0967, Total loss: 0.5714
{'loss': 0.441, 'learning_rate': 3.7808807733619767e-06, 'epoch': 0.08}
{'loss': 0.506, 'learning_rate': 3.8023630504833515e-06, 'epoch': 0.08}
{'loss': 0.4517, 'learning_rate': 3.823845327604727e-06, 'epoch': 0.08}
{'loss': 0.3933, 'learning_rate': 3.845327604726101e-06, 'epoch': 0.08}
{'loss': 0.5205, 'learning_rate': 3.8668098818474765e-06, 'epoch': 0.08}
{'loss': 0.4178, 'learning_rate': 3.888292158968851e-06, 'epoch': 0.08}
{'loss': 0.4846, 'learning_rate': 3.909774436090225e-06, 'epoch': 0.08}
{'loss': 0.3857, 'learning_rate': 3.931256713211601e-06, 'epoch': 0.08}
{'loss': 0.4243, 'learning_rate': 3.952738990332975e-06, 'epoch': 0.08}
{'loss': 0.4422, 'learning_rate': 3.97422126745435e-06, 'epoch': 0.08}
{'loss': 0.4095, 'learning_rate': 3.995703544575726e-06, 'epoch': 0.08}
{'loss': 0.4651, 'learning_rate': 4.017185821697101e-06, 'epoch': 0.08}
{'loss': 0.3738, 'learning_rate': 4.038668098818475e-06, 'epoch': 0.08}
{'loss': 0.3947, 'learning_rate': 4.06015037593985e-06, 'epoch': 0.08}
{'loss': 0.4802, 'learning_rate': 4.081632653061225e-06, 'epoch': 0.08}
{'loss': 0.326, 'learning_rate': 4.1031149301825994e-06, 'epoch': 0.08}
{'loss': 0.5269, 'learning_rate': 4.124597207303975e-06, 'epoch': 0.08}
{'loss': 0.403, 'learning_rate': 4.146079484425349e-06, 'epoch': 0.08}
{'loss': 0.5285, 'learning_rate': 4.167561761546724e-06, 'epoch': 0.08}
{'loss': 0.4163, 'learning_rate': 4.189044038668099e-06, 'epoch': 0.08}
{'loss': 0.4129, 'learning_rate': 4.210526315789474e-06, 'epoch': 0.08}
{'loss': 0.4038, 'learning_rate': 4.232008592910849e-06, 'epoch': 0.08}
{'loss': 0.4342, 'learning_rate': 4.253490870032224e-06, 'epoch': 0.09}
{'loss': 0.5431, 'learning_rate': 4.274973147153599e-06, 'epoch': 0.09}
{'loss': 0.5012, 'learning_rate': 4.2964554242749735e-06, 'epoch': 0.09}
