
  3%|▎         | 136/4654 [08:50<5:17:24,  4.22s/it]
{'loss': 0.7311, 'learning_rate': 1.3533834586466167e-06, 'epoch': 0.03}
Step 126 - Original loss: 0.3385, Custom loss: 0.2559, Total loss: 0.4664
Step 126 - Original loss: 0.7161, Custom loss: 0.4707, Total loss: 0.9515
{'loss': 0.5915, 'learning_rate': 1.3748657357679915e-06, 'epoch': 0.03}
Step 128 - Original loss: 0.4433, Custom loss: 0.2891, Total loss: 0.5878
Step 128 - Original loss: 0.5382, Custom loss: 0.5391, Total loss: 0.8077
{'loss': 0.6019, 'learning_rate': 1.3963480128893664e-06, 'epoch': 0.03}
Step 130 - Original loss: 0.4836, Custom loss: 0.2949, Total loss: 0.6311
Step 130 - Original loss: 0.3645, Custom loss: 0.2275, Total loss: 0.4783
{'loss': 0.5262, 'learning_rate': 1.4178302900107412e-06, 'epoch': 0.03}
Step 132 - Original loss: 0.4889, Custom loss: 0.3027, Total loss: 0.6403
Step 132 - Original loss: 0.3471, Custom loss: 0.3516, Total loss: 0.5229
{'loss': 0.5922, 'learning_rate': 1.4393125671321163e-06, 'epoch': 0.03}
Step 134 - Original loss: 0.4571, Custom loss: 0.4844, Total loss: 0.6993
Step 134 - Original loss: 0.4472, Custom loss: 0.3867, Total loss: 0.6405
{'loss': 0.5669, 'learning_rate': 1.4607948442534911e-06, 'epoch': 0.03}
Step 136 - Original loss: 0.4272, Custom loss: 0.3203, Total loss: 0.5874
Step 136 - Original loss: 0.4569, Custom loss: 0.4980, Total loss: 0.7060
{'loss': 0.5926, 'learning_rate': 1.4822771213748658e-06, 'epoch': 0.03}
Step 138 - Original loss: 0.2782, Custom loss: 0.3613, Total loss: 0.4589
Step 138 - Original loss: 0.5412, Custom loss: 0.5859, Total loss: 0.8342
{'loss': 0.5824, 'learning_rate': 1.5037593984962406e-06, 'epoch': 0.03}
Step 140 - Original loss: 0.2932, Custom loss: 0.3984, Total loss: 0.4924
Step 140 - Original loss: 0.4331, Custom loss: 0.4004, Total loss: 0.6333
{'loss': 0.492, 'learning_rate': 1.5252416756176155e-06, 'epoch': 0.03}
Step 142 - Original loss: 0.2703, Custom loss: 0.4395, Total loss: 0.4900
Step 142 - Original loss: 0.4621, Custom loss: 0.3496, Total loss: 0.6369
{'loss': 0.5887, 'learning_rate': 1.5467239527389905e-06, 'epoch': 0.03}
Step 144 - Original loss: 0.4615, Custom loss: 0.4297, Total loss: 0.6764
Step 144 - Original loss: 0.3087, Custom loss: 0.3477, Total loss: 0.4826
{'loss': 0.5603, 'learning_rate': 1.5682062298603654e-06, 'epoch': 0.03}
Step 146 - Original loss: 0.9022, Custom loss: 0.8203, Total loss: 1.3123
Step 146 - Original loss: 0.2378, Custom loss: 0.3027, Total loss: 0.3892
{'loss': 0.4536, 'learning_rate': 1.5896885069817402e-06, 'epoch': 0.03}
Step 148 - Original loss: 0.4904, Custom loss: 0.5898, Total loss: 0.7854
Step 148 - Original loss: 0.4651, Custom loss: 0.4629, Total loss: 0.6965
{'loss': 0.4917, 'learning_rate': 1.611170784103115e-06, 'epoch': 0.03}
Step 150 - Original loss: 0.2381, Custom loss: 0.3301, Total loss: 0.4031
Step 150 - Original loss: 0.2072, Custom loss: 0.2188, Total loss: 0.3166
{'loss': 0.4314, 'learning_rate': 1.6326530612244897e-06, 'epoch': 0.03}
Step 152 - Original loss: 0.1919, Custom loss: 0.3457, Total loss: 0.3647
Step 152 - Original loss: 0.2959, Custom loss: 0.4453, Total loss: 0.5186
{'loss': 0.4486, 'learning_rate': 1.6541353383458648e-06, 'epoch': 0.03}
Step 154 - Original loss: 0.2827, Custom loss: 0.2246, Total loss: 0.3950
Step 154 - Original loss: 0.2018, Custom loss: 0.2969, Total loss: 0.3503
{'loss': 0.5037, 'learning_rate': 1.6756176154672396e-06, 'epoch': 0.03}
Step 156 - Original loss: 0.3585, Custom loss: 0.5117, Total loss: 0.6144
Step 156 - Original loss: 0.4250, Custom loss: 0.3770, Total loss: 0.6135
{'loss': 0.5623, 'learning_rate': 1.6970998925886145e-06, 'epoch': 0.03}
Step 158 - Original loss: 0.3286, Custom loss: 0.4141, Total loss: 0.5357
Step 158 - Original loss: 0.3383, Custom loss: 0.3359, Total loss: 0.5062
{'loss': 0.4068, 'learning_rate': 1.7185821697099893e-06, 'epoch': 0.03}
Step 160 - Original loss: 0.5311, Custom loss: 0.3594, Total loss: 0.7107
Step 160 - Original loss: 0.2207, Custom loss: 0.1992, Total loss: 0.3203
{'loss': 0.5786, 'learning_rate': 1.7400644468313644e-06, 'epoch': 0.03}
Step 162 - Original loss: 0.2928, Custom loss: 0.2715, Total loss: 0.4285
Step 162 - Original loss: 0.3163, Custom loss: 0.3789, Total loss: 0.5058
