W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
G-Retriever
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='ppi5k', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 6.968155529231413e-10, Accum Loss: 0.7522855401039124
Lr: 8.710194411539266e-08, Accum Loss: 0.623913437128067
Lr: 8.849557522123894e-08, Accum Loss: 0.5706622302532196
Lr: 8.988920632708522e-08, Accum Loss: 0.5524735599756241
Lr: 9.128283743293151e-08, Accum Loss: 0.5909484326839447
Lr: 9.26764685387778e-08, Accum Loss: 0.5503973662853241
Lr: 9.407009964462407e-08, Accum Loss: 0.6326721012592316
Lr: 9.546373075047036e-08, Accum Loss: 0.2836296334862709
Lr: 9.685736185631664e-08, Accum Loss: 0.5394145548343658
Lr: 9.825099296216292e-08, Accum Loss: 0.49848364293575287
Lr: 9.96446240680092e-08, Accum Loss: 0.5068269222974777
Lr: 1.0103825517385549e-07, Accum Loss: 0.6058959662914276
Lr: 1.0243188627970176e-07, Accum Loss: 0.5593443810939789
Lr: 1.0382551738554805e-07, Accum Loss: 0.5215911567211151
Lr: 1.0521914849139434e-07, Accum Loss: 0.5470124632120132
Lr: 1.0661277959724062e-07, Accum Loss: 0.3705683648586273
Lr: 1.080064107030869e-07, Accum Loss: 0.45698416233062744
Lr: 1.0940004180893318e-07, Accum Loss: 0.3869323432445526
Lr: 1.1079367291477947e-07, Accum Loss: 0.5096740275621414
Lr: 1.1218730402062574e-07, Accum Loss: 0.38557708263397217
Lr: 1.1358093512647203e-07, Accum Loss: 0.3734670728445053
Lr: 1.1497456623231832e-07, Accum Loss: 0.48322437703609467
Lr: 1.1636819733816459e-07, Accum Loss: 0.6823515892028809
Lr: 1.1776182844401088e-07, Accum Loss: 0.4445943981409073
Lr: 1.1915545954985716e-07, Accum Loss: 0.512521505355835
Lr: 1.2054909065570344e-07, Accum Loss: 0.32126285135746
Lr: 1.2194272176154974e-07, Accum Loss: 0.4570598751306534
Lr: 1.23336352867396e-07, Accum Loss: 0.5427155196666718
Lr: 1.2472998397324228e-07, Accum Loss: 0.3360375463962555
Lr: 1.2612361507908858e-07, Accum Loss: 0.24220523238182068
Lr: 1.2751724618493486e-07, Accum Loss: 0.2985413148999214
Lr: 1.2891087729078113e-07, Accum Loss: 0.47425293922424316
Lr: 1.3030450839662743e-07, Accum Loss: 0.3337898999452591
Lr: 1.316981395024737e-07, Accum Loss: 0.19186186790466309
Lr: 1.3309177060831998e-07, Accum Loss: 0.32288414239883423
Lr: 1.3448540171416628e-07, Accum Loss: 0.3561154156923294
Lr: 1.3587903282001255e-07, Accum Loss: 0.39184941351413727
Lr: 1.3727266392585882e-07, Accum Loss: 0.2844010591506958
Lr: 1.3866629503170512e-07, Accum Loss: 0.4924100339412689
Lr: 1.400599261375514e-07, Accum Loss: 0.3159535974264145
Lr: 1.414535572433977e-07, Accum Loss: 0.24837961792945862
Lr: 1.4284718834924397e-07, Accum Loss: 0.24171707034111023
Lr: 1.4424081945509024e-07, Accum Loss: 0.1864798367023468
Lr: 1.4563445056093654e-07, Accum Loss: 0.31214576214551926
Lr: 1.4702808166678281e-07, Accum Loss: 0.24333080649375916
Lr: 1.484217127726291e-07, Accum Loss: 0.3254729360342026
Lr: 1.498153438784754e-07, Accum Loss: 0.29765283316373825
Lr: 1.5120897498432166e-07, Accum Loss: 0.2164471596479416
Lr: 1.5260260609016793e-07, Accum Loss: 0.32996146380901337
Lr: 1.5399623719601423e-07, Accum Loss: 0.3481551259756088
Lr: 1.553898683018605e-07, Accum Loss: 0.27740268409252167
Lr: 1.5678349940770678e-07, Accum Loss: 0.3976115435361862
Lr: 1.5817713051355308e-07, Accum Loss: 0.23158109188079834
Lr: 1.5957076161939935e-07, Accum Loss: 0.2933501601219177
Lr: 1.6096439272524563e-07, Accum Loss: 0.5062367767095566
Lr: 1.6235802383109193e-07, Accum Loss: 0.23217497766017914
Lr: 1.637516549369382e-07, Accum Loss: 0.20015071332454681
Lr: 1.6514528604278447e-07, Accum Loss: 0.2732073664665222
Lr: 1.6653891714863077e-07, Accum Loss: 0.16953427344560623
Lr: 1.6793254825447705e-07, Accum Loss: 0.19089901447296143
Lr: 1.6932617936032335e-07, Accum Loss: 0.34621337056159973
Lr: 1.7071981046616962e-07, Accum Loss: 0.3060561418533325
Lr: 1.721134415720159e-07, Accum Loss: 0.2815980687737465
Lr: 1.735070726778622e-07, Accum Loss: 0.27675848454236984
Lr: 1.7490070378370847e-07, Accum Loss: 0.23158250749111176
Lr: 1.7629433488955474e-07, Accum Loss: 0.21381235122680664
Lr: 1.7768796599540104e-07, Accum Loss: 0.1594241037964821
Lr: 1.790815971012473e-07, Accum Loss: 0.13618537783622742
Lr: 1.8047522820709359e-07, Accum Loss: 0.13965367898344994
Lr: 1.8186885931293989e-07, Accum Loss: 0.2127794399857521
Lr: 1.8326249041878616e-07, Accum Loss: 0.15695422142744064
Lr: 1.8465612152463243e-07, Accum Loss: 0.1604384370148182
Lr: 1.8604975263047873e-07, Accum Loss: 0.24814101308584213
Lr: 1.87443383736325e-07, Accum Loss: 0.18733561784029007
Lr: 1.8883701484217128e-07, Accum Loss: 0.26948757469654083
Lr: 1.9023064594801758e-07, Accum Loss: 0.15531541779637337
Lr: 1.9162427705386385e-07, Accum Loss: 0.1900639533996582
Lr: 1.9301790815971013e-07, Accum Loss: 0.3139382675290108
Lr: 1.9441153926555643e-07, Accum Loss: 0.1668316312134266
Lr: 1.958051703714027e-07, Accum Loss: 0.24539488554000854
Lr: 1.97198801477249e-07, Accum Loss: 0.1316312812268734
Lr: 1.9859243258309527e-07, Accum Loss: 0.19483747333288193
Lr: 1.9998606368894155e-07, Accum Loss: 0.1988494098186493
Lr: 2.0137969479478784e-07, Accum Loss: 0.27095208317041397
Lr: 2.0277332590063412e-07, Accum Loss: 0.2642546594142914
Lr: 2.041669570064804e-07, Accum Loss: 0.11817550100386143
Lr: 2.055605881123267e-07, Accum Loss: 0.22433818876743317
Lr: 2.0695421921817296e-07, Accum Loss: 0.13162466511130333
Lr: 2.0834785032401924e-07, Accum Loss: 0.11134004965424538
Lr: 2.0974148142986554e-07, Accum Loss: 0.18470238894224167
Lr: 2.111351125357118e-07, Accum Loss: 0.21048984676599503
Lr: 2.1252874364155808e-07, Accum Loss: 0.22566725313663483
Lr: 2.1392237474740438e-07, Accum Loss: 0.2093115821480751
Lr: 2.1531600585325066e-07, Accum Loss: 0.19113611429929733
Lr: 2.1670963695909693e-07, Accum Loss: 0.2032128870487213
Lr: 2.1810326806494323e-07, Accum Loss: 0.16134963929653168
Lr: 2.194968991707895e-07, Accum Loss: 0.08605850860476494
Lr: 2.2089053027663578e-07, Accum Loss: 0.2925938740372658
Lr: 2.2228416138248208e-07, Accum Loss: 0.14600464701652527
Lr: 2.2367779248832835e-07, Accum Loss: 0.1970112919807434
Lr: 2.2507142359417465e-07, Accum Loss: 0.17997214198112488
Lr: 2.2646505470002092e-07, Accum Loss: 0.12461268901824951
Lr: 2.278586858058672e-07, Accum Loss: 0.1567457728087902
Lr: 2.292523169117135e-07, Accum Loss: 0.13815991953015327
Lr: 2.3064594801755977e-07, Accum Loss: 0.25432661920785904
Lr: 2.3203957912340604e-07, Accum Loss: 0.11204053834080696
Lr: 2.3343321022925234e-07, Accum Loss: 0.10618273541331291
Lr: 2.3482684133509862e-07, Accum Loss: 0.0959835834801197
Lr: 2.362204724409449e-07, Accum Loss: 0.09317054226994514
Lr: 2.376141035467912e-07, Accum Loss: 0.07923675887286663
Lr: 2.3900773465263746e-07, Accum Loss: 0.11329003050923347
Lr: 2.4040136575848374e-07, Accum Loss: 0.10755329206585884
Lr: 2.4179499686433e-07, Accum Loss: 0.22587794810533524
Lr: 2.4318862797017634e-07, Accum Loss: 0.06145493499934673
Lr: 2.445822590760226e-07, Accum Loss: 0.10550562292337418
Lr: 2.459758901818689e-07, Accum Loss: 0.2274564951658249
Lr: 2.4736952128771516e-07, Accum Loss: 0.1262410804629326
Lr: 2.4876315239356143e-07, Accum Loss: 0.11016853153705597
Lr: 2.501567834994077e-07, Accum Loss: 0.07242239266633987
Lr: 2.5155041460525403e-07, Accum Loss: 0.15748943388462067
Lr: 2.529440457111003e-07, Accum Loss: 0.1991908997297287
Lr: 2.543376768169466e-07, Accum Loss: 0.11855803057551384
Lr: 2.5573130792279285e-07, Accum Loss: 0.0770531166344881
Lr: 2.571249390286391e-07, Accum Loss: 0.07775994390249252
Lr: 2.585185701344854e-07, Accum Loss: 0.11961086094379425
Lr: 2.599122012403317e-07, Accum Loss: 0.13114189356565475
Lr: 2.61305832346178e-07, Accum Loss: 0.12420920841395855
Lr: 2.6269946345202427e-07, Accum Loss: 0.07893087901175022
Lr: 2.6409309455787054e-07, Accum Loss: 0.10860352218151093
Lr: 2.654867256637168e-07, Accum Loss: 0.07901937514543533
Lr: 2.6688035676956314e-07, Accum Loss: 0.06904581002891064
Lr: 2.682739878754094e-07, Accum Loss: 0.12358741834759712
Lr: 2.696676189812557e-07, Accum Loss: 0.0673937015235424
Lr: 2.7106125008710196e-07, Accum Loss: 0.07390379719436169
Lr: 2.7245488119294823e-07, Accum Loss: 0.10013898089528084
Lr: 2.738485122987945e-07, Accum Loss: 0.13823501765727997
Lr: 2.7524214340464083e-07, Accum Loss: 0.13822880014777184
Lr: 2.766357745104871e-07, Accum Loss: 0.17888709157705307
Lr: 2.780294056163334e-07, Accum Loss: 0.12461994215846062
Lr: 2.7942303672217965e-07, Accum Loss: 0.06957321893423796
Lr: 2.8081666782802593e-07, Accum Loss: 0.09441385790705681
Lr: 2.822102989338722e-07, Accum Loss: 0.1313677541911602
Lr: 2.8360393003971853e-07, Accum Loss: 0.05829263664782047
Lr: 2.849975611455648e-07, Accum Loss: 0.07902895845472813
Lr: 2.8639119225141107e-07, Accum Loss: 0.08332166075706482
Lr: 2.8778482335725735e-07, Accum Loss: 0.07749057561159134
Lr: 2.891784544631036e-07, Accum Loss: 0.12479621544480324
Lr: 2.905720855689499e-07, Accum Loss: 0.08809295669198036
Lr: 2.919657166747962e-07, Accum Loss: 0.08943849802017212
Lr: 2.933593477806425e-07, Accum Loss: 0.1019810289144516
Lr: 2.9475297888648877e-07, Accum Loss: 0.06759052537381649
Lr: 2.9614660999233504e-07, Accum Loss: 0.1915031298995018
Lr: 2.975402410981813e-07, Accum Loss: 0.1497117355465889
Lr: 2.9893387220402764e-07, Accum Loss: 0.09193904511630535
Lr: 3.003275033098739e-07, Accum Loss: 0.07351287826895714
Lr: 3.017211344157202e-07, Accum Loss: 0.05403157416731119
Lr: 3.0311476552156646e-07, Accum Loss: 0.06152908597141504
Lr: 3.0450839662741273e-07, Accum Loss: 0.052638016641139984
Lr: 3.05902027733259e-07, Accum Loss: 0.10579444468021393
Lr: 3.0729565883910533e-07, Accum Loss: 0.07761218585073948
Lr: 3.086892899449516e-07, Accum Loss: 0.03218487370759249
Lr: 3.100829210507979e-07, Accum Loss: 0.06179080158472061
Lr: 3.1147655215664415e-07, Accum Loss: 0.11364611238241196
Lr: 3.128701832624904e-07, Accum Loss: 0.08352433517575264
Lr: 3.142638143683367e-07, Accum Loss: 0.08923116698861122
Lr: 3.15657445474183e-07, Accum Loss: 0.20170315727591515
Lr: 3.170510765800293e-07, Accum Loss: 0.09338636323809624
Lr: 3.1844470768587557e-07, Accum Loss: 0.0655368585139513
Lr: 3.1983833879172184e-07, Accum Loss: 0.13765451684594154
Lr: 3.212319698975681e-07, Accum Loss: 0.07338395621627569
Lr: 3.2262560100341444e-07, Accum Loss: 0.07570838928222656
Lr: 3.240192321092607e-07, Accum Loss: 0.10421735048294067
Lr: 3.25412863215107e-07, Accum Loss: 0.06346140801906586
Lr: 3.2680649432095326e-07, Accum Loss: 0.04282003454864025
Lr: 3.2820012542679954e-07, Accum Loss: 0.11433326452970505
Lr: 3.295937565326458e-07, Accum Loss: 0.0791684053838253
Lr: 3.3098738763849214e-07, Accum Loss: 0.029624004382640123
Lr: 3.323810187443384e-07, Accum Loss: 0.02381157223135233
Lr: 3.337746498501847e-07, Accum Loss: 0.09402831271290779
Lr: 3.3516828095603096e-07, Accum Loss: 0.013812332414090633
Lr: 3.3656191206187723e-07, Accum Loss: 0.14092568773776293
Lr: 3.379555431677235e-07, Accum Loss: 0.03613914269953966
Lr: 3.3934917427356983e-07, Accum Loss: 0.08391043916344643
Lr: 3.407428053794161e-07, Accum Loss: 0.05720672011375427
Lr: 3.421364364852624e-07, Accum Loss: 0.0963987447321415
Lr: 3.4353006759110865e-07, Accum Loss: 0.08578344061970711
Lr: 3.449236986969549e-07, Accum Loss: 0.1189555274322629
Lr: 3.463173298028012e-07, Accum Loss: 0.04548077750951052
Lr: 3.477109609086475e-07, Accum Loss: 0.15827836096286774
Lr: 3.491045920144938e-07, Accum Loss: 0.07699947291985154
Lr: 3.5049822312034007e-07, Accum Loss: 0.017274863086640835
Lr: 3.5189185422618634e-07, Accum Loss: 0.09593573585152626
Lr: 3.532854853320326e-07, Accum Loss: 0.03613812290132046
Lr: 3.5467911643787894e-07, Accum Loss: 0.07211162708699703
Lr: 3.560727475437252e-07, Accum Loss: 0.05662786029279232
Lr: 3.574663786495715e-07, Accum Loss: 0.0766705060377717
Lr: 3.5886000975541776e-07, Accum Loss: 0.07400501240044832
Lr: 3.6025364086126404e-07, Accum Loss: 0.05835860688239336
Lr: 3.616472719671103e-07, Accum Loss: 0.025581345427781343
Lr: 3.6304090307295664e-07, Accum Loss: 0.09175474941730499
Lr: 3.644345341788029e-07, Accum Loss: 0.1540224626660347
Lr: 3.658281652846492e-07, Accum Loss: 0.03599234577268362
Lr: 3.6722179639049546e-07, Accum Loss: 0.05581033602356911
Lr: 3.6861542749634173e-07, Accum Loss: 0.047707585617899895
Lr: 3.70009058602188e-07, Accum Loss: 0.0815076231956482
Lr: 3.7140268970803433e-07, Accum Loss: 0.03189045563340187
Lr: 3.727963208138806e-07, Accum Loss: 0.06386378966271877
Lr: 3.741899519197269e-07, Accum Loss: 0.09942269325256348
Lr: 3.7558358302557315e-07, Accum Loss: 0.04410322569310665
Lr: 3.769772141314194e-07, Accum Loss: 0.02957397885620594
Lr: 3.783708452372657e-07, Accum Loss: 0.047797759994864464
Lr: 3.79764476343112e-07, Accum Loss: 0.025932692922651768
Lr: 3.811581074489583e-07, Accum Loss: 0.03416902478784323
Lr: 3.8255173855480457e-07, Accum Loss: 0.031536877155303955
Lr: 3.8394536966065084e-07, Accum Loss: 0.04200158920139074
Lr: 3.853390007664971e-07, Accum Loss: 0.0912592001259327
Lr: 3.8673263187234344e-07, Accum Loss: 0.018634986132383347
Lr: 3.881262629781897e-07, Accum Loss: 0.03958355542272329
Lr: 3.89519894084036e-07, Accum Loss: 0.0161374369636178
Lr: 3.9091352518988226e-07, Accum Loss: 0.09293423220515251
Lr: 3.9230715629572853e-07, Accum Loss: 0.02609459822997451
Lr: 3.937007874015748e-07, Accum Loss: 0.30542151629924774
Lr: 3.9509441850742113e-07, Accum Loss: 0.048581257462501526
Lr: 3.964880496132674e-07, Accum Loss: 0.03861087001860142
Lr: 3.978816807191137e-07, Accum Loss: 0.02451159618794918
Lr: 3.9927531182495995e-07, Accum Loss: 0.04058570368215442
Lr: 4.0066894293080623e-07, Accum Loss: 0.014335072133690119
Lr: 4.020625740366525e-07, Accum Loss: 0.010856282897293568
Lr: 4.0345620514249883e-07, Accum Loss: 0.10931756347417831
Lr: 4.048498362483451e-07, Accum Loss: 0.11298003001138568
Lr: 4.0624346735419137e-07, Accum Loss: 0.01833007112145424
Lr: 4.0763709846003765e-07, Accum Loss: 0.03223076555877924
Lr: 4.090307295658839e-07, Accum Loss: 0.03026594966650009
Lr: 4.1042436067173025e-07, Accum Loss: 0.019678303506225348
Lr: 4.118179917775765e-07, Accum Loss: 0.01580322766676545
Lr: 4.132116228834228e-07, Accum Loss: 0.08986668102443218
Lr: 4.1460525398926907e-07, Accum Loss: 0.016331841237843037
Lr: 4.1599888509511534e-07, Accum Loss: 0.13383567240089178
Lr: 4.173925162009616e-07, Accum Loss: 0.07160361763089895
Lr: 4.1878614730680794e-07, Accum Loss: 0.03870043903589249
Lr: 4.201797784126542e-07, Accum Loss: 0.02997992280870676
Lr: 4.215734095185005e-07, Accum Loss: 0.09386268258094788
Lr: 4.2296704062434676e-07, Accum Loss: 0.00944843189790845
Lr: 4.2436067173019303e-07, Accum Loss: 0.04493178427219391
Lr: 4.257543028360393e-07, Accum Loss: 0.05036549735814333
Lr: 4.2714793394188563e-07, Accum Loss: 0.028855159878730774
Lr: 4.285415650477319e-07, Accum Loss: 0.06297258101403713
Lr: 4.299351961535782e-07, Accum Loss: 0.05224852543324232
Lr: 4.3132882725942445e-07, Accum Loss: 0.01984871318563819
Lr: 4.327224583652707e-07, Accum Loss: 0.11165471840649843
Lr: 4.34116089471117e-07, Accum Loss: 0.010772584937512875
Lr: 4.355097205769633e-07, Accum Loss: 0.014998926315456629
Lr: 4.369033516828096e-07, Accum Loss: 0.040667629800736904
Lr: 4.3829698278865587e-07, Accum Loss: 0.020477794343605638
Lr: 4.3969061389450214e-07, Accum Loss: 0.03153372462838888
Lr: 4.410842450003484e-07, Accum Loss: 0.0061302578542381525
Lr: 4.4247787610619474e-07, Accum Loss: 0.012397755403071642
Lr: 4.43871507212041e-07, Accum Loss: 0.03911342844367027
Lr: 4.452651383178873e-07, Accum Loss: 0.05423798365518451
Lr: 4.4665876942373356e-07, Accum Loss: 0.004113163740839809
Lr: 4.4805240052957984e-07, Accum Loss: 0.009057212388142943
Lr: 4.494460316354261e-07, Accum Loss: 0.0304154921323061
Lr: 4.5083966274127244e-07, Accum Loss: 0.08020072098588571
Lr: 4.522332938471187e-07, Accum Loss: 0.010565460717771202
Lr: 4.53626924952965e-07, Accum Loss: 0.0770361740142107
Lr: 4.5502055605881126e-07, Accum Loss: 0.028305879794061184
Lr: 4.5641418716465753e-07, Accum Loss: 0.018408103846013546
Lr: 4.578078182705038e-07, Accum Loss: 0.05221344344317913
Lr: 4.5920144937635013e-07, Accum Loss: 0.04401179309934378
Lr: 4.605950804821964e-07, Accum Loss: 0.010727337095886469
Lr: 4.619887115880427e-07, Accum Loss: 0.03288909047842026
Lr: 4.6338234269388895e-07, Accum Loss: 0.004980418598279357
Lr: 4.647759737997352e-07, Accum Loss: 0.07404242362827063
Lr: 4.6616960490558155e-07, Accum Loss: 0.013480650493875146
Lr: 4.675632360114278e-07, Accum Loss: 0.03962552174925804
Lr: 4.689568671172741e-07, Accum Loss: 0.009690931183286011
Lr: 4.7035049822312037e-07, Accum Loss: 0.0021886065369471908
Lr: 4.7174412932896664e-07, Accum Loss: 0.1241285540163517
Lr: 4.731377604348129e-07, Accum Loss: 0.021257162210531533
Lr: 4.7453139154065924e-07, Accum Loss: 0.08643393591046333
Lr: 4.759250226465055e-07, Accum Loss: 0.018328741192817688
Lr: 4.773186537523518e-07, Accum Loss: 0.10652870684862137
Lr: 4.787122848581981e-07, Accum Loss: 0.024276684038341045
Lr: 4.801059159640443e-07, Accum Loss: 0.015533791622146964
Lr: 4.814995470698906e-07, Accum Loss: 0.021460707066580653
Lr: 4.828931781757369e-07, Accum Loss: 0.04620229825377464
Lr: 4.842868092815832e-07, Accum Loss: 0.019215427339076996
Lr: 4.856804403874294e-07, Accum Loss: 0.014750596135854721
Lr: 4.870740714932758e-07, Accum Loss: 0.07309951167553663
Lr: 4.884677025991221e-07, Accum Loss: 0.039732270408421755
Lr: 4.898613337049684e-07, Accum Loss: 0.015600000973790884
Lr: 4.912549648108146e-07, Accum Loss: 0.022885725600644946
Lr: 4.926485959166609e-07, Accum Loss: 0.05693477392196655
Lr: 4.940422270225072e-07, Accum Loss: 0.014769192785024643
Lr: 4.954358581283534e-07, Accum Loss: 0.030045222025364637
Lr: 4.968294892341997e-07, Accum Loss: 0.011247110232943669
Lr: 4.98223120340046e-07, Accum Loss: 0.07543479558080435
Lr: 4.996167514458923e-07, Accum Loss: 0.0008581264846725389
Lr: 5.010103825517385e-07, Accum Loss: 0.05146760982461274
Lr: 5.024040136575849e-07, Accum Loss: 0.0036560470471158624
Lr: 5.037976447634312e-07, Accum Loss: 0.02854979073163122
Lr: 5.051912758692775e-07, Accum Loss: 0.17063682852312922
Lr: 5.065849069751237e-07, Accum Loss: 0.003249939065426588
Lr: 5.0797853808097e-07, Accum Loss: 0.060036165348719805
Lr: 5.093721691868163e-07, Accum Loss: 0.06460316851735115
Lr: 5.107658002926626e-07, Accum Loss: 0.06008443608880043
Lr: 5.121594313985088e-07, Accum Loss: 0.017293330281972885
Lr: 5.135530625043551e-07, Accum Loss: 0.0034479322494007647
Lr: 5.149466936102014e-07, Accum Loss: 0.028126860968768597
Lr: 5.163403247160477e-07, Accum Loss: 0.005353371147066355
Lr: 5.177339558218939e-07, Accum Loss: 0.011974353343248367
Lr: 5.191275869277403e-07, Accum Loss: 0.08383766189217567
Lr: 5.205212180335866e-07, Accum Loss: 0.03325013443827629
Lr: 5.219148491394329e-07, Accum Loss: 0.016959782224148512
Lr: 5.233084802452791e-07, Accum Loss: 0.027788529987446964
Lr: 5.247021113511254e-07, Accum Loss: 0.007542736828327179
Lr: 5.260957424569717e-07, Accum Loss: 0.00835968810133636
Lr: 5.274893735628179e-07, Accum Loss: 0.02093159919604659
Lr: 5.288830046686642e-07, Accum Loss: 0.07103969482704997
Lr: 5.302766357745105e-07, Accum Loss: 0.007839455618523061
Lr: 5.316702668803568e-07, Accum Loss: 0.002339670027140528
Lr: 5.33063897986203e-07, Accum Loss: 0.000569780298974365
Lr: 5.344575290920494e-07, Accum Loss: 0.01496030786074698
Lr: 5.358511601978957e-07, Accum Loss: 0.0017363026709062979
Lr: 5.37244791303742e-07, Accum Loss: 0.002174454857595265
Lr: 5.386384224095882e-07, Accum Loss: 0.0058390062768012285
Lr: 5.400320535154345e-07, Accum Loss: 0.0012015371466986835
Lr: 5.414256846212808e-07, Accum Loss: 0.07339999126270413
Lr: 5.428193157271271e-07, Accum Loss: 0.012892134138382971
Lr: 5.442129468329733e-07, Accum Loss: 0.0050343291368335485
Lr: 5.456065779388196e-07, Accum Loss: 0.025940052553778514
