W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with random sampled 50 triples, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 119.1s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1900, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 57.7s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 2.5203970274905164e-08, Accum Loss: 2.196587324142456
Lr: 2.5377193438306574e-08, Accum Loss: 1.623740017414093
Lr: 2.555041660170798e-08, Accum Loss: 1.8830978274345398
Lr: 2.5723639765109393e-08, Accum Loss: 1.0893487334251404
Lr: 2.5896862928510803e-08, Accum Loss: 1.5374967455863953
Lr: 2.6070086091912212e-08, Accum Loss: 1.5566179156303406
Lr: 2.6243309255313622e-08, Accum Loss: 1.9353531002998352
Lr: 2.6416532418715035e-08, Accum Loss: 2.1568615436553955
Lr: 2.658975558211644e-08, Accum Loss: 1.2395375967025757
Lr: 2.676297874551785e-08, Accum Loss: 2.4071714282035828
Lr: 2.6936201908919264e-08, Accum Loss: 0.9430051445960999
Lr: 2.7109425072320673e-08, Accum Loss: 2.5331954956054688
Lr: 2.7282648235722083e-08, Accum Loss: 1.7072888612747192
Lr: 2.7455871399123493e-08, Accum Loss: 1.814445286989212
Lr: 2.7629094562524906e-08, Accum Loss: 1.8512446880340576
Lr: 2.7802317725926312e-08, Accum Loss: 2.299166262149811
Lr: 2.7975540889327722e-08, Accum Loss: 1.8116571307182312
Lr: 2.814876405272913e-08, Accum Loss: 2.142384946346283
Lr: 2.8321987216130544e-08, Accum Loss: 1.743745505809784
Lr: 2.8495210379531954e-08, Accum Loss: 1.7579023838043213
Lr: 2.8668433542933364e-08, Accum Loss: 1.136296808719635
Lr: 2.8841656706334777e-08, Accum Loss: 3.4114986658096313
Lr: 2.9014879869736183e-08, Accum Loss: 1.1293808221817017
Lr: 2.9188103033137593e-08, Accum Loss: 0.9405368566513062
Lr: 2.9361326196539002e-08, Accum Loss: 1.723721981048584
Lr: 2.9534549359940415e-08, Accum Loss: 1.8866661489009857
Lr: 2.9707772523341825e-08, Accum Loss: 1.7437050938606262
Lr: 2.9880995686743235e-08, Accum Loss: 1.8134500980377197
Lr: 3.0054218850144644e-08, Accum Loss: 2.406754732131958
Lr: 3.0227442013546054e-08, Accum Loss: 1.2616471648216248
Lr: 3.0400665176947464e-08, Accum Loss: 1.7974748015403748
Lr: 3.057388834034887e-08, Accum Loss: 1.6307034194469452
Lr: 3.074711150375028e-08, Accum Loss: 2.1930911540985107
Lr: 3.092033466715169e-08, Accum Loss: 1.5148568749427795
Lr: 3.10935578305531e-08, Accum Loss: 1.9276988506317139
Lr: 3.126678099395451e-08, Accum Loss: 1.8479239344596863
Lr: 3.144000415735593e-08, Accum Loss: 1.558198094367981
Lr: 3.161322732075734e-08, Accum Loss: 1.380100667476654
Lr: 3.178645048415874e-08, Accum Loss: 1.5628454685211182
Lr: 3.195967364756015e-08, Accum Loss: 2.5951563119888306
Lr: 3.2132896810961567e-08, Accum Loss: 1.552032083272934
Lr: 3.2306119974362976e-08, Accum Loss: 1.4946262836456299
Lr: 3.2479343137764386e-08, Accum Loss: 1.7550818920135498
Lr: 3.2652566301165796e-08, Accum Loss: 1.208067387342453
Lr: 3.2825789464567205e-08, Accum Loss: 2.329292356967926
Lr: 3.2999012627968615e-08, Accum Loss: 1.2316953241825104
Lr: 3.3172235791370025e-08, Accum Loss: 2.035971701145172
Lr: 3.3345458954771434e-08, Accum Loss: 1.0864002704620361
Lr: 3.3518682118172844e-08, Accum Loss: 1.6830906867980957
Lr: 3.3691905281574254e-08, Accum Loss: 2.4731205701828003
Lr: 3.386512844497566e-08, Accum Loss: 1.6048060357570648
Lr: 3.403835160837707e-08, Accum Loss: 0.9935169517993927
Lr: 3.421157477177848e-08, Accum Loss: 1.9910924434661865
Lr: 3.438479793517989e-08, Accum Loss: 1.4093286395072937
Lr: 3.455802109858131e-08, Accum Loss: 1.9483458995819092
Lr: 3.473124426198272e-08, Accum Loss: 2.1645681262016296
Lr: 3.490446742538413e-08, Accum Loss: 2.7145090103149414
Lr: 3.507769058878553e-08, Accum Loss: 1.7816438674926758
Lr: 3.525091375218695e-08, Accum Loss: 2.195153057575226
Lr: 3.5424136915588357e-08, Accum Loss: 1.5710788369178772
Lr: 3.5597360078989766e-08, Accum Loss: 2.2996957302093506
Lr: 3.5770583242391176e-08, Accum Loss: 1.9893949627876282
Lr: 3.5943806405792586e-08, Accum Loss: 2.195913314819336
Lr: 3.6117029569193995e-08, Accum Loss: 1.469791054725647
Lr: 3.6290252732595405e-08, Accum Loss: 1.8622949123382568
Lr: 3.6463475895996815e-08, Accum Loss: 1.4772701263427734
Lr: 3.6636699059398224e-08, Accum Loss: 2.1515840888023376
Lr: 3.6809922222799634e-08, Accum Loss: 1.5280979871749878
Lr: 3.6983145386201044e-08, Accum Loss: 2.141511917114258
Lr: 3.715636854960246e-08, Accum Loss: 1.9066441655158997
Lr: 3.732959171300386e-08, Accum Loss: 1.487493097782135
Lr: 3.750281487640527e-08, Accum Loss: 0.7430744767189026
Lr: 3.767603803980669e-08, Accum Loss: 1.1599613726139069
Lr: 3.78492612032081e-08, Accum Loss: 1.3170818984508514
