W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 40.2s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 24.6s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 2.5220004292766687e-07, Accum Loss: 1.405863881111145
Lr: 2.5434642627173214e-07, Accum Loss: 1.4514780640602112
Lr: 2.564928096157974e-07, Accum Loss: 1.48289954662323
Lr: 2.5863919295986263e-07, Accum Loss: 1.3507501482963562
Lr: 2.607855763039279e-07, Accum Loss: 1.4985879063606262
Lr: 2.629319596479931e-07, Accum Loss: 1.4575385451316833
Lr: 2.650783429920584e-07, Accum Loss: 1.411145269870758
Lr: 2.6722472633612366e-07, Accum Loss: 1.4276078343391418
Lr: 2.693711096801889e-07, Accum Loss: 1.458087146282196
Lr: 2.7151749302425415e-07, Accum Loss: 1.3643903136253357
Lr: 2.7366387636831937e-07, Accum Loss: 1.4100925922393799
Lr: 2.7581025971238464e-07, Accum Loss: 1.3120350241661072
Lr: 2.779566430564499e-07, Accum Loss: 1.3612917065620422
Lr: 2.8010302640051513e-07, Accum Loss: 1.2988267540931702
Lr: 2.822494097445804e-07, Accum Loss: 1.37064129114151
Lr: 2.8439579308864567e-07, Accum Loss: 1.4220830202102661
Lr: 2.865421764327109e-07, Accum Loss: 1.475677251815796
Lr: 2.8868855977677616e-07, Accum Loss: 1.4714662432670593
Lr: 2.908349431208414e-07, Accum Loss: 1.2614373564720154
Lr: 2.9298132646490665e-07, Accum Loss: 1.525104820728302
Lr: 2.951277098089719e-07, Accum Loss: 1.3043066263198853
Lr: 2.9727409315303713e-07, Accum Loss: 1.4626182317733765
Lr: 2.994204764971024e-07, Accum Loss: 1.358368694782257
Lr: 3.015668598411677e-07, Accum Loss: 1.304185390472412
Lr: 3.037132431852329e-07, Accum Loss: 1.290937602519989
Lr: 3.0585962652929816e-07, Accum Loss: 1.3774255514144897
Lr: 3.0800600987336343e-07, Accum Loss: 1.4473215341567993
Lr: 3.1015239321742865e-07, Accum Loss: 1.3211613297462463
Lr: 3.122987765614939e-07, Accum Loss: 1.2753717303276062
Lr: 3.144451599055592e-07, Accum Loss: 1.390920341014862
Lr: 3.165915432496244e-07, Accum Loss: 1.3892704248428345
Lr: 3.1873792659368963e-07, Accum Loss: 1.3795899152755737
Lr: 3.208843099377549e-07, Accum Loss: 1.2521193027496338
Lr: 3.2303069328182017e-07, Accum Loss: 1.3959346413612366
Lr: 3.2517707662588544e-07, Accum Loss: 1.2821013927459717
Lr: 3.2732345996995066e-07, Accum Loss: 1.4165059924125671
Lr: 3.294698433140159e-07, Accum Loss: 1.2888314127922058
Lr: 3.3161622665808115e-07, Accum Loss: 1.2449782490730286
Lr: 3.337626100021464e-07, Accum Loss: 1.4416736960411072
Lr: 3.359089933462117e-07, Accum Loss: 1.1883516311645508
Lr: 3.3805537669027696e-07, Accum Loss: 1.2831844687461853
Lr: 3.402017600343421e-07, Accum Loss: 1.2412542700767517
Lr: 3.423481433784074e-07, Accum Loss: 1.3091570138931274
Lr: 3.4449452672247267e-07, Accum Loss: 1.2501476407051086
Lr: 3.4664091006653794e-07, Accum Loss: 1.2596831321716309
Lr: 3.487872934106032e-07, Accum Loss: 1.3324989080429077
Lr: 3.5093367675466837e-07, Accum Loss: 1.2338255047798157
Lr: 3.5308006009873364e-07, Accum Loss: 1.3272544145584106
